gm_name,gm_alt_name,gm_synonyms,counts
Порожки,ПОРОЖКИ,"ПОРОГ-СТЫК,ПОРОГ-УГОЛ,ПРОФИЛЬ,ПОРОГ,ПОРОЖЕК",1140
Водяная завеса,ВОДЯНАЯ ЗАВЕСА,,9
Электропилы,ПИЛА ЦЕПНАЯ ЭЛЕКТРИЧЕСКАЯ,"ЦЕПНАЯ ПИЛА,KTRNHJGBKF,WTGYFZ GBKF,KTRNHJBYCNHEVTYN,ЭЛЕКТРИЧЕСКИЕ ЦЕПНЫЕ ПИЛЫ,ЭЛЕКТРОПИЛЫ,ЭЛЕТРОПИЛА,ЭЛЕКТРОИНСТРУМЕНТ",3
Телескопический крепеж для плоской кровли,ТЕЛЕСКОПИЧЕСКИЙ КРЕПЕЖ ДЛЯ ПЛОСКОЙ КРОВЛИ,"ДЮБЕЛЬ ТЕЛЕСКОПИЧЕСКИЙ,КРЕПЛЕНИЕ КРОВЕЛЬНОЕ",1
анкерный подвес с зажимом,АНКЕРНЫЙ ПОДВЕС С ЗАЖИМОМ,"ПОДВЕС АКЕРНЫЙ, АНКЕРНЫЙ ПОДВЕС",3
Мембраны,МЕМБРАНЫ,"ВЕТРОЗАЩИТА,КРОВЕЛЬНАЯ,ПАРОИЗОЛЯЦИЯ,ПЛЕНКА,СТРОИТЕЛЬНАЯ,ГИДРОИЗОЛЯЦИЯ",9
Гипсоволокнистый лист,ГИПСОВОЛОКНИСТЫЙ ЛИСТ,"КНАУФ СУПЕРЛИСТ,ГИПСОВОЛОКНО,ГВЛВ,КНАУФ СУПЕРПОЛ,ЭЛЕМЕНТ ПОЛА,ГВЛ",1
Брусок сухой,БРУСОК СУХОЙ,"БРУСОК,ПИЛОМАТЕРИАЛ,ПИЛОМАТЕРИАЛЫ,РЕЙКА,ДЕРЕВО И ПИЛОМАТЕРИАЛЫ,ПИЛОМАТЕРИАЛ ОБРЕЗНОЙ,ПИЛОМАТЕРИАЛЫ БРУС,ППИЛОМАТЕРИАЛЫ,БРУС",8
Порошки красящие,ПОРОШОК КРАСЯЩИЙ,ПОРОШОК ДЛЯ ШНУРА,6
Электрические краскопульты,ЭЛЕКТРИЧЕСКИЙ КРАСКОПУЛЬТ,"ЭЛЕКТРОИНСТРУМЕНТ,КРАСКОРАСПЫЛИТЕЛЬ,КРАСКОПУЛЬТ,RHFCRJGEKMN,KTRNHJBYCNHEVTYN,KTRNHJBYCNHEVTYNS,ЭЛЕКТРОИНСТРУМЕНТЫ",1
Комплектующие для профнастила,КОМПЛЕКТУЮЩИЕ ДЛЯ ПРОФНАСТИЛА,,9
Хомуты,КАБЕЛЬНАЯ СТЯЖКА ХОМУТ,"КАБЕЛЬНАЯ СТЯЖКА,ХОМУТ КАБЕЛЬНЫЙ,БАНДАЖ",13
Пика по бетону,ПИКА ПО БЕТОНУ,"ЗУБИЛО,ДОЛОТО",11
Кольца для штанги в ванну,КОЛЬЦА ДЛЯ ШТАНГИ В ВАННУ,,1
Профнастил,ПРОФНАСТИЛ,"ПРОФЛИСТ,ПРОФИЛИРОВАННЫЙ НАСТИЛ,ПРОФИЛИРОВАННЫЙ ЛИСТ,ПРОФНОСТИЛ,ЗАБОР",10
Магнит мебельный,МАГНИТ МЕБЕЛЬНЫЙ,МАГНИТНАЯ ЗАЩЕЛКА,6
Ножницы по металлу,НОЖНИЦЫ ПО МЕТАЛЛУ,,82
Мотобуры,МОТОБУР,"БЕНЗОБУР,МОТОБУР,ЯМОБУР",3
Реле сухого хода,РЕЛЕ СУХОГО ХОДА,,6
Мелки мраморные,МЕЛКИ МРАМОРНЫЕ,,1
задняя крышка двигателя,ЗАДНЯЯ КРЫШКА ДВИГАТЕЛЯ,,1
кэ контрольный электрод,КЭ КОНТРОЛЬНЫЙ ЭЛЕКТРОД,,1
Щиты распределительные,ЩИТ РАСПРЕДЕЛИТЕЛЬНЫЙ,"ЩИТОК,БОКС,ЩИТ ЭЛЕКТРИЧЕСКИЙ",5
Снежинки самоклеющиеся,СНЕЖИНКИ САМОКЛЕЮЩИЕСЯ,,27
Межкомнатные двери,МЕЖКОМНАТНЫЕ ДВЕРИ,"СБОР ДВЕРИ,ПОЛОТНО ДВЕРНОЕ,БЛОК ДВЕРНОЙ,КОМПЛЕКТ ДВЕРИ",82
Хлопушки,ХЛОПУШКИ,,4
шланг водно-воздушный для штукатурной станции,ШЛАНГ ВОДНО-ВОЗДУШНЫЙ ДЛЯ ШТУКАТУРНОЙ СТАНЦИИ,ДЛЯ ШТУКАТУРНОЙ МАШИНЫ,5
Потолки кассетные,ПОТОЛКИ КАССЕТНЫЕ,"КАСЕТА,КАСЕТНЫЙ ПОТОЛОК,КАСЕТЫ,КАССЕТА,КАССЕТНЫЙ ПОТОЛОК,КАССЕТЫ ПОТОЛОЧНЫЕ,ПАНЕЛИ АЛЮМИНИЕВЫЕ",26
Резиновые коврики,РЕЗИНОВЫЕ КОВРИКИ,"ЯЧЕИСТЫЙ,РЕЗИНОВЫЙ КОВРИК,ГРЯЗЕЗАЩИТА,ПРИДВЕРНЫЙ,КОВРИК,ГРЯЗЕСБОРНЫЙ",1
Экструдированный пенополистирол (XPS),ЭКСТРУДИРОВАННЫЙ ПЕНОПОЛИСТИРОЛ XPS,"ЭКСТРУЗИЯ,ЭКСТРУЗИОННЫЙ ПЕНОПОЛИСТИРОЛ,ЭКСТРУД,КАРБОН,ТЕПЛОИЗОЛЯЦИОННАЯ ПЛИТА,ПЕНОПОЛИСТИРОЛ,ПЕНОПОЛИСТЕРОЛ,ПЕНОПЛАСТ",1
Комплектующие к вентиляции,КОМПЛЕКТУЮЩИЕ К ВЕНТИЛЯЦИИ,"ВЕНТИЛЯЦИЯ,ВЕНТИЛЯЦИОННЫЙ,КОМПЛЕКТ ВОЗДУХОВОДА,КОМПЛЕКТ ВЕНТИЛЯЦИИ",4
Крепеж для вагонки,КРЕПЕЖ ДЛЯ ВАГОНКИ,"КЛЯЙМЕР,КЛЯМЕР,КЛЯММЕР",2
Тумба подкатная,ТУМБА ПОДКАТНАЯ,,1
Кабели витая пара,КАБЕЛЬ ВИТАЯ ПАРА ИНТЕРНЕТ,"ИНТЕРНЕТ-КАБЕЛЬ,КАБЕЛЬ СВЯЗИ,FTP,КАБЕЛЬ СЕТЕВОЙ,ПРОВОД СЕТЕВОЙ,UTP",5
Блоки силикатные,БЛОКИ СИЛИКАТНЫЕ,,14
Муфты Push-fit,МУФТЫ PUSH-FIT,"МУФТЫ ПУШ ФИТ,ПУШ ФИТ,ФИТИНГИ ПУШФИТ",2
Смесители для ванны,СМЕСИТЕЛИ ДЛЯ ВАННЫ,"СМЕСИТЕЛЬ НА ВАННУ,СМЕСИТЕЛЬ В ВАННУ,СМЕСИТЕЛЬ ДЛЯ ВАННЫ,КРАН",3
Блоки газобетонные,БЛОКИ ГАЗОБЕТОННЫЕ,"СТРОИТЕЛЬНЫЕ БЛОКИ,ГАЗОБЕТОН,ПЕНОБЛОК,ГАЗОБЛОК,ГАЗОСИЛИКАТ,ГАЗОСИЛИКАТНЫЙ",1
Искусственный камень,ИСКУССТВЕННЫЙ КАМЕНЬ,ДЕКОРАТИВНЫЙ КАМЕНЬ,258
профиль угловой,ПРОФИЛЬ УГЛОВОЙ,,10
Переходники для труб из PEX,ПЕРЕХОДНИКИ ДЛЯ ТРУБ ИЗ PEX,"ГАЙКА,ПЕРЕХОДНАЯ МУФТА,ПЕРЕХОДНИК ДЛЯ ТРУБ ИЗ СШИТОГО ПОЛИЭТИЛЕНА,ПЕРЕХОД НА РЕЗЬБУ,ШТУЦЕР",2
Швеллер,ШВЕЛЛЕР,"ШВЕЛЛЕР СТАЛЬ,ШВЕЛЛЕР ГОСТ,МЕТАЛОПРОКАТ,МЕТАЛЛОПРОКАТ,ШВЕЛЕР МЕТАЛЛ,IDTKTH,IDTKKTH,VTNFKKJGHJRFN,ШВЕЛЕР",1
Полипропиленовые угольники,ПОЛИПРОПИЛЕНОВЫЕ УГОЛЬНИКИ,"ПОЛИПРОПИЛЕНОВЫЙ УГОЛ,ПП КОЛЕНО,ПП ОТВОД,ПОЛИПРОПИЛЕНОВОЕ КОЛЕНО,ПП УГОЛ,ПП УГОЛЬНИКИ,ПОЛИПРОПИЛЕНОВЫЙ ОТВОД,ВОДОРОЗЕТКА ПП",5
Вибрационные шлифмашины,ШЛИФМАШИНЫ ВИБРАЦИОННЫЕ,"ВИБРАЦИОННАЯ ШЛИФМАШИНА,ВИБРАЦИОННАЯ ШЛИФОВАЛЬНАЯ МАШИНА,ДЕЛЬТАШЛИФМАШИНА,ЭЛЕКТРОИНСТРУМЕНТ,ЭЛЕКТРОИНСТРУМЕНТЫ",7
Концовка для МП труб,КОНЦОВКА ДЛЯ МП ТРУБ,"ЕВРОКОНУС,ПЕРЕХОД НА КОЛЛЕКТОР,КОНЦОВКА ДЛЯ МЕТАЛЛОПЛАСТИКА",6
Рулонная гидроизоляция,РУЛОННАЯ ГИДРОИЗОЛЯЦИЯ,"РУБЕРОИД,РУБИРОИТ,РУБИРОЙД,РУБЕРОИТ,ГИДРОИЗОЛЯЦИОННАЯ ПЛЕНКА,РУЛОННАЯ ГИДРОИЗОЛЯЦИЯ,РУБИРОИД,РУЛОНКА,КРОВЛЯ РУЛОННАЯ",1
