gm_name,n_grams,counts,percent
,acik gri,2,0.03575898444484177
,argento aen,2,0.03575898444484177
,armodies stan,2,0.03575898444484177
,asv ду,2,0.03575898444484177
,baumacol premiumfuge,11,0.19667441444662973
,baumit baumacol,11,0.19667441444662973
,beckerplast bas,3,0.05363847666726265
,beckers beckerplast,3,0.05363847666726265
,bionic бак,3,0.05363847666726265
,bionic чистки,3,0.05363847666726265
,bionic щётка,5,0.08939746111210442
,boards set,2,0.03575898444484177
,bostik мл,3,0.05363847666726265
,brown brown,3,0.05363847666726265
,brown дуб,2,0.03575898444484177
,ck lj,2,0.03575898444484177
,classic ет,3,0.05363847666726265
,cm decking,3,0.05363847666726265
,col moqf,2,0.03575898444484177
,colorit светло,5,0.08939746111210442
,colorit темно,3,0.05363847666726265
,columbus sh,3,0.05363847666726265
,columbus войлочная,4,0.07151796888968354
,columbus пластиковая,3,0.05363847666726265
,construction черный,2,0.03575898444484177
,cristina masi,2,0.03575898444484177
,dab ric,3,0.05363847666726265
,dab sp,2,0.03575898444484177
,diamante en,5,0.08939746111210442
,diamante дизайн,2,0.03575898444484177
,dulux bindo,2,0.03575898444484177
,easy matic,2,0.03575898444484177
,facade всесезонная,2,0.03575898444484177
,filz xl,7,0.1251564455569462
,finncolor mineral,2,0.03575898444484177
,finncolor oasis,3,0.05363847666726265
,fit it,2,0.03575898444484177
,fl la,3,0.05363847666726265
,flex нерж,7,0.1251564455569462
,francco classic,4,0.07151796888968354
,gcf глянцевый,2,0.03575898444484177
,gray blue,5,0.08939746111210442
,grey grey,2,0.03575898444484177
,gv ду,3,0.05363847666726265
,hbv наковальней,2,0.03575898444484177
,ii akkermann,2,0.03575898444484177
,ingco hbv,3,0.05363847666726265
,ingco industrial,6,0.1072769533345253
,ip galad,3,0.05363847666726265
,ip tdm,3,0.05363847666726265
,ip вуокса,3,0.05363847666726265
,ip черный,2,0.03575898444484177
,kastamonu brown,2,0.03575898444484177
,kraftool pro,3,0.05363847666726265
,la коричневая,2,0.03575898444484177
,leister предметов,5,0.08939746111210442
,leo дуб,4,0.07151796888968354
,li ion,2,0.03575898444484177
,light cream,3,0.05363847666726265
,light gray,6,0.1072769533345253
,light pink,2,0.03575898444484177
,lj gcf,2,0.03575898444484177
,ls гост,5,0.08939746111210442
,magnus profi,2,0.03575898444484177
,master good,4,0.07151796888968354
,matrix stan,3,0.05363847666726265
,mediana polaris,3,0.05363847666726265
,mineral strong,2,0.03575898444484177
,nf терракотовый,2,0.03575898444484177
,objekta хl,7,0.1251564455569462
