gm_name,n_grams,counts,percent
,asv ду ру,2,0.04690431519699812
,baumit baumacol premiumfuge,11,0.2579737335834897
,beckers beckerplast bas,3,0.07035647279549719
,bionic бак очистителя,3,0.07035647279549719
,bionic чистки полировки,3,0.07035647279549719
,bionic щётка стандарт,3,0.07035647279549719
,bionic щётка шампунирования,2,0.04690431519699812
,classic ет круглая,3,0.07035647279549719
,columbus войлочная крепления,4,0.09380863039399624
,columbus пластиковая крючками,3,0.07035647279549719
,construction черный мл,2,0.04690431519699812
,dab ric tenuta,3,0.07035647279549719
,facade всесезонная основе,2,0.04690431519699812
,finncolor mineral strong,2,0.04690431519699812
,fl la коричневая,2,0.04690431519699812
,flex нерж сталь,7,0.16416510318949343
,francco classic ет,3,0.07035647279549719
,gcf глянцевый кофе,2,0.04690431519699812
,gv ду ру,3,0.07035647279549719
,ingco hbv наковальней,2,0.04690431519699812
,ip вуокса tdm,3,0.07035647279549719
,ip черный народный,2,0.04690431519699812
,kastamonu brown дуб,2,0.04690431519699812
,kraftool pro solingen,2,0.04690431519699812
,leister предметов тм,3,0.07035647279549719
,lj gcf глянцевый,2,0.04690431519699812
,mineral strong акриловая,2,0.04690431519699812
,perfecta глубокоматовая база,2,0.04690431519699812
,pg полированная латунь,2,0.04690431519699812
,pn sdr ртп,4,0.09380863039399624
,prof facade всесезонная,2,0.04690431519699812
,quantum pro литров,2,0.04690431519699812
,riccardi argento aen,2,0.04690431519699812
,riccardi diamante en,5,0.11726078799249531
,riccardi diamante дизайн,2,0.04690431519699812
,riccardi sn матовый,2,0.04690431519699812
,riccardi venezia ck,2,0.04690431519699812
,riccardi аb античная,3,0.07035647279549719
,rico leo дуб,4,0.09380863039399624
,salsa boards set,2,0.04690431519699812
,sardes truva stan,3,0.07035647279549719
,sdr мпа разметкой,2,0.04690431519699812
,sg матовая латунь,3,0.07035647279549719
,sia отверстием крепления,2,0.04690431519699812
,sikaflex construction черный,2,0.04690431519699812
,sky tweed кл,2,0.04690431519699812
,sn матовый никель,8,0.18761726078799248
,sofit stan light,13,0.3048780487804878
,stan brown brown,3,0.07035647279549719
,stan gray blue,5,0.11726078799249531
,stan grey grey,2,0.04690431519699812
,stan light cream,3,0.07035647279549719
,stan light gray,6,0.14071294559099437
,stan light pink,2,0.04690431519699812
,stinger распорный цветной,8,0.18761726078799248
,stout нар резьба,2,0.04690431519699812
,strong акриловая матовая,2,0.04690431519699812
,sunrise stan gray,5,0.11726078799249531
,tarkett sky tweed,2,0.04690431519699812
,tikkurila perfecta глубокоматовая,2,0.04690431519699812
,tikkurila prof facade,2,0.04690431519699812
,tikkurila луя мат,2,0.04690431519699812
,truva stan brown,2,0.04690431519699812
,venezia ck lj,2,0.04690431519699812
,wc mediana polaris,3,0.07035647279549719
,аb античная бронза,5,0.11726078799249531
,акрил латексная tikkurila,2,0.04690431519699812
,акриловая матовая баз,2,0.04690431519699812
,алюминием pn sdr,4,0.09380863039399624
,американка вр ртп,5,0.11726078799249531
,американка нр ртп,4,0.09380863039399624
,амстердам темно коричневый,5,0.11726078799249531
,анод quantum pro,2,0.04690431519699812
,античная бронза округлая,3,0.07035647279549719
,армирования бетона полипропиленовая,2,0.04690431519699812
,армированная стекловолокном pn,3,0.07035647279549719
,армировка алюминием pn,4,0.09380863039399624
