gm_name,n_grams,counts,percent
,_new,2,0.02798376941374003
,acik,2,0.02798376941374003
,aen,2,0.02798376941374003
,akkermann,3,0.041975654120610044
,altstream,11,0.15391073177557016
,argento,2,0.02798376941374003
,armadillo,2,0.02798376941374003
,armodies,2,0.02798376941374003
,artigo,2,0.02798376941374003
,asv,2,0.02798376941374003
,atlanta,12,0.16790261648244018
,bas,4,0.05596753882748006
,baumacol,11,0.15391073177557016
,baumit,11,0.15391073177557016
,beckerplast,3,0.041975654120610044
,beckers,3,0.041975654120610044
,beige,4,0.05596753882748006
,bindo,2,0.02798376941374003
,bionic,11,0.15391073177557016
,blue,6,0.08395130824122009
,bn,3,0.041975654120610044
,boards,2,0.02798376941374003
,bonolit,10,0.13991884706870014
,bostik,3,0.041975654120610044
,boston,6,0.08395130824122009
,brown,9,0.12592696236183012
,buhara,2,0.02798376941374003
,ceresit,2,0.02798376941374003
,certa,3,0.041975654120610044
,cf,2,0.02798376941374003
,ck,4,0.05596753882748006
,classic,4,0.05596753882748006
,clean,6,0.08395130824122009
,cm,3,0.041975654120610044
,col,2,0.02798376941374003
,colorit,17,0.23786204001679026
,columbus,11,0.15391073177557016
,comforty,2,0.02798376941374003
,construction,6,0.08395130824122009
,cot,2,0.02798376941374003
,cream,6,0.08395130824122009
,cristina,2,0.02798376941374003
,cutterот,3,0.041975654120610044
,cм,2,0.02798376941374003
,dab,9,0.12592696236183012
,danfoss,5,0.06995942353435007
,danogips,4,0.05596753882748006
,decking,3,0.041975654120610044
,decover,2,0.02798376941374003
,dendor,4,0.05596753882748006
,dh,2,0.02798376941374003
,diamante,8,0.11193507765496012
,dn,2,0.02798376941374003
,dulux,2,0.02798376941374003
,easy,4,0.05596753882748006
,en,5,0.06995942353435007
,et,2,0.02798376941374003
,facade,2,0.02798376941374003
,fc,4,0.05596753882748006
,filz,7,0.0979431929480901
,finncolor,5,0.06995942353435007
,fit,2,0.02798376941374003
,fix,2,0.02798376941374003
,fl,3,0.041975654120610044
,flex,8,0.11193507765496012
,flexorand,2,0.02798376941374003
,floor,2,0.02798376941374003
,fmx,4,0.05596753882748006
,fora,5,0.06995942353435007
,forbo,3,0.041975654120610044
,francco,5,0.06995942353435007
,frd,2,0.02798376941374003
,fк,2,0.02798376941374003
,galad,3,0.041975654120610044
,gcf,2,0.02798376941374003
,good,4,0.05596753882748006
,gray,11,0.15391073177557016
,grey,5,0.06995942353435007
,gri,2,0.02798376941374003
,gv,3,0.041975654120610044
,hbv,3,0.041975654120610044
,hj,2,0.02798376941374003
,hlv,2,0.02798376941374003
,iek,5,0.06995942353435007
,ii,6,0.08395130824122009
,industrial,6,0.08395130824122009
,ingco,13,0.1818945011893102
,ion,2,0.02798376941374003
,ip,26,0.3637890023786204
,it,2,0.02798376941374003
,kastamonu,2,0.02798376941374003
,kraftool,6,0.08395130824122009
,kvs,2,0.02798376941374003
,la,3,0.041975654120610044
,ld,3,0.041975654120610044
,leister,6,0.08395130824122009
,leo,50,0.6995942353435007
,li,2,0.02798376941374003
,light,13,0.1818945011893102
,lindis,4,0.05596753882748006
,lj,3,0.041975654120610044
,ls,5,0.06995942353435007
,magnus,2,0.02798376941374003
,masi,2,0.02798376941374003
,master,8,0.11193507765496012
,matic,2,0.02798376941374003
,matrix,6,0.08395130824122009
,mediana,3,0.041975654120610044
,metall,2,0.02798376941374003
,mineral,2,0.02798376941374003
,miraya,14,0.1958863858961802
,moqf,2,0.02798376941374003
,morelli,2,0.02798376941374003
,mw,2,0.02798376941374003
,nf,6,0.08395130824122009
,nox,2,0.02798376941374003
,oasis,3,0.041975654120610044
,objekta,10,0.13991884706870014
,ohio,9,0.12592696236183012
,olecolor,5,0.06995942353435007
,ontario,10,0.13991884706870014
,orfeus,2,0.02798376941374003
,oval,2,0.02798376941374003
,perfecta,2,0.02798376941374003
,pg,7,0.0979431929480901
,ph,2,0.02798376941374003
,pink,2,0.02798376941374003
,pn,13,0.1818945011893102
,polaris,3,0.041975654120610044
,pp,2,0.02798376941374003
,ppm,2,0.02798376941374003
,premiumfuge,11,0.15391073177557016
,pro,7,0.0979431929480901
,prof,2,0.02798376941374003
,professional,2,0.02798376941374003
,profi,2,0.02798376941374003
,profitto,2,0.02798376941374003
,promo,2,0.02798376941374003
,quantum,3,0.041975654120610044
,quick,3,0.041975654120610044
,quickstep,14,0.1958863858961802
,ra,3,0.041975654120610044
,ramax,4,0.05596753882748006
,ric,4,0.05596753882748006
,riccardi,23,0.32181334825801033
,rico,54,0.7555617741709808
,rst,2,0.02798376941374003
,ru,3,0.041975654120610044
,salsa,2,0.02798376941374003
,sanisil,2,0.02798376941374003
,sardes,3,0.041975654120610044
,sdr,6,0.08395130824122009
,sds,2,0.02798376941374003
,seal,2,0.02798376941374003
,set,2,0.02798376941374003
,sg,3,0.041975654120610044
,sh,4,0.05596753882748006
,shinglas,4,0.05596753882748006
,sia,3,0.041975654120610044
,sika,3,0.041975654120610044
,sikaceram,2,0.02798376941374003
,sikafiber,2,0.02798376941374003
,sikaflex,10,0.13991884706870014
,sikaseal,2,0.02798376941374003
,sikasil,3,0.041975654120610044
,silver,2,0.02798376941374003
,sky,2,0.02798376941374003
,sliw,2,0.02798376941374003
,smirdex,2,0.02798376941374003
,sn,10,0.13991884706870014
,so,2,0.02798376941374003
,sofi,7,0.0979431929480901
,sofit,13,0.1818945011893102
,solingen,2,0.02798376941374003
,sp,5,0.06995942353435007
,sparta,3,0.041975654120610044
,sports,3,0.041975654120610044
,stan,41,0.5736672729816706
,standard,7,0.0979431929480901
,stayer,11,0.15391073177557016
,step,2,0.02798376941374003
,stinger,9,0.12592696236183012
,stout,4,0.05596753882748006
,strip,4,0.05596753882748006
,strong,5,0.06995942353435007
,sunrise,5,0.06995942353435007
,tallinn,19,0.26584580943053027
,tarkett,3,0.041975654120610044
,tdm,36,0.5037078494473205
,tebo,11,0.15391073177557016
,tenuta,4,0.05596753882748006
,tikkurila,8,0.11193507765496012
,triaс,2,0.02798376941374003
,truva,4,0.05596753882748006
,tweed,2,0.02798376941374003
,twin,2,0.02798376941374003
,unibob,7,0.0979431929480901
,uniclic,2,0.02798376941374003
,universal,4,0.05596753882748006
,valo,5,0.06995942353435007
,valtec,14,0.1958863858961802
,venezia,3,0.041975654120610044
,wc,3,0.041975654120610044
,xl,15,0.20987827060305023
,zambaity,3,0.041975654120610044
,аb,6,0.08395130824122009
,абразива,4,0.05596753882748006
,ав,14,0.1958863858961802
,автомобиля,6,0.08395130824122009
,акрил,2,0.02798376941374003
,акрилатно,3,0.041975654120610044
,акриловая,2,0.02798376941374003
,акриловый,2,0.02798376941374003
,аллюр,2,0.02798376941374003
,алмазн,2,0.02798376941374003
,алмазная,3,0.041975654120610044
,алмазный,3,0.041975654120610044
,алюм,2,0.02798376941374003
,алюминием,4,0.05596753882748006
,американка,9,0.12592696236183012
,амстердам,5,0.06995942353435007
,английский,5,0.06995942353435007
,анод,5,0.06995942353435007
,антивандальные,2,0.02798376941374003
,антика,2,0.02798376941374003
,антискользящая,3,0.041975654120610044
,античная,8,0.11193507765496012
,армирования,2,0.02798376941374003
,армированная,5,0.06995942353435007
,армировка,4,0.05596753882748006
,армирующими,3,0.041975654120610044
,арт,2,0.02798376941374003
,ас,3,0.041975654120610044
,асбестовый,2,0.02798376941374003
,ассортимент,9,0.12592696236183012
,бабочка,11,0.15391073177557016
,баз,10,0.13991884706870014
,база,13,0.1818945011893102
,бак,3,0.041975654120610044
,бандажа,2,0.02798376941374003
,бань,2,0.02798376941374003
,батарейки,2,0.02798376941374003
,беж,9,0.12592696236183012
,бежевая,3,0.041975654120610044
,бежевый,5,0.06995942353435007
,бел,15,0.20987827060305023
,белая,25,0.34979711767175037
,беленый,4,0.05596753882748006
,белоснежная,3,0.041975654120610044
,белые,5,0.06995942353435007
,белый,22,0.3078214635511403
,береза,5,0.06995942353435007
,бетона,5,0.06995942353435007
,бетону,3,0.041975654120610044
,бзд,2,0.02798376941374003
,бибер,4,0.05596753882748006
,бирсmix,10,0.13991884706870014
,битумно,4,0.05596753882748006
,битумный,2,0.02798376941374003
,биты,2,0.02798376941374003
,бк,2,0.02798376941374003
,бкп,2,0.02798376941374003
,блок,16,0.22387015530992024
,большой,3,0.041975654120610044
,брайт,2,0.02798376941374003
,брит,5,0.06995942353435007
,бронза,10,0.13991884706870014
,бруса,2,0.02798376941374003
,брусок,2,0.02798376941374003
,бруш,2,0.02798376941374003
,бук,3,0.041975654120610044
,бухта,6,0.08395130824122009
,бюгель,2,0.02798376941374003
,вагонка,2,0.02798376941374003
,валик,3,0.041975654120610044
,васильково,2,0.02798376941374003
,ввг,3,0.041975654120610044
,вгт,15,0.20987827060305023
,вдак,13,0.1818945011893102
,венге,4,0.05596753882748006
,вентиль,2,0.02798376941374003
,вилка,4,0.05596753882748006
,виниловые,2,0.02798376941374003
,винтов,2,0.02798376941374003
,вихрь,2,0.02798376941374003
,вишня,3,0.041975654120610044
,влагостойкая,4,0.05596753882748006
,влагостойкий,2,0.02798376941374003
,вн,5,0.06995942353435007
,внутр,4,0.05596753882748006
,внутренний,10,0.13991884706870014
,внутренних,2,0.02798376941374003
,водонагреватель,4,0.05596753882748006
,воды,6,0.08395130824122009
,возможностью,2,0.02798376941374003
,войлочная,4,0.05596753882748006
,волна,2,0.02798376941374003
,волокнами,3,0.041975654120610044
,вороненые,2,0.02798376941374003
,ворс,6,0.08395130824122009
,ворсом,6,0.08395130824122009
,восковой,18,0.25185392472366025
,вр,38,0.5316916188610605
,врезной,9,0.12592696236183012
,всесезонная,4,0.05596753882748006
,встраиваемое,3,0.041975654120610044
,встраиваемый,3,0.041975654120610044
,встроенной,2,0.02798376941374003
,вт,7,0.0979431929480901
,вуокса,3,0.041975654120610044
,выключатель,4,0.05596753882748006
,вых,14,0.1958863858961802
,газировка,3,0.041975654120610044
,газобетонный,10,0.13991884706870014
,гайкой,2,0.02798376941374003
,гвоздь,2,0.02798376941374003
,гвс,2,0.02798376941374003
,гель,2,0.02798376941374003
,генфир,2,0.02798376941374003
,гермес,4,0.05596753882748006
,герметик,21,0.2938295788442703
,герметичный,4,0.05596753882748006
,гибкая,17,0.23786204001679026
,гибкий,4,0.05596753882748006
,гидроизоляция,2,0.02798376941374003
,гиплан,2,0.02798376941374003
,гипсовая,6,0.08395130824122009
,гипсокартонный,4,0.05596753882748006
,глад,6,0.08395130824122009
,гладкая,4,0.05596753882748006
,гладкий,6,0.08395130824122009
,глубокомат,2,0.02798376941374003
,глубокоматовая,2,0.02798376941374003
,глубокопроникающий,2,0.02798376941374003
,глянец,4,0.05596753882748006
